"file","page","page_url","order","section","alt","src_url"
"aulas__cronograma-1-2022-1_006.png","/aulas/cronograma-1-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-1","6","","","https://lh3.googleusercontent.com/sitesv/AA5AbUATNqozdWQLLGG0ykzyeOqejKFQruZrvjEwLwbBW4LqF3GrAp_hH8-4uJ_o4peP75ntB8MQNdp2graY6WqNmepj55VzLYkB5lgWvz53cdI_dQKJQvlTD5TUOpDMgK3mPJiCUyhGwWmMJe1MMq3hxrIndR6K-1eonTq8nsiFsqFD1SgqCG9OsnxHjfPA6coQh1ogrbt4mfbpOhdZ358RV7QxxDz-Y9eWAPt6Cdg=w1280"
"aulas__cronograma-1-2022-1_007.png","/aulas/cronograma-1-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-1","7","","","https://lh3.googleusercontent.com/sitesv/AA5AbUBQJ-6KUr71PSWZlTt3U1Yx539WB1fVYEMKsjx5DfnixbYiXYZTV4CtRd5uawndlw6zvbbRVsJxfznkCwq_IEB7NHuYpvDnrvct9ZGbdw9Q_RoAZpYzF9Wr8ruzMGkMqmC81Y3a4TflPjroBB1gOx41K4LQcJbdHSQ8QqSFF5oA8CMQK-h9hH5F7lleOH3lTg70BoUeJiFWc6tCSGQghf3-ihb_bJSDyGrVPvQ=w1280"
"aulas__cronograma-1-2022-1_008.png","/aulas/cronograma-1-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-1","8","","","https://lh3.googleusercontent.com/sitesv/AA5AbUClTuFxibbAstPCeG3DfrfeAX3d48lSsOhgSMnZllPz2Vq2OcgqwBSh21ImCawjPmb3vLxXZ8peMkYnYpKpviHYY2LttNCAgdXrZhv7xOzPKCSrIlX9k77QwHqvmkMiRNx7nJ_xtQikhzh1BDzHaLIzuhyoo4vhHgM-LR6zkesCK70YQ5-wNmOn83IcQIc3D-Q2KNkJZ5gOFSS-h28Ebaw0GTneFUm_weSl6pQ=w1280"
"aulas__cronograma-1-2022-1_009.png","/aulas/cronograma-1-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-1","9","","","https://lh3.googleusercontent.com/sitesv/AA5AbUAuvDCwqsmXKUTR-KLWSMqtM5zcmcT0S8sWjtZvpTvsSV1C4mmdyUvgXOVK1ovkJhLHTPpcaVKnGqmPpmkY7w5MxtIB45fTI255XZeWASR1TEtwgADHUhm5B4zpoM8fhVfaa7-UwiAmwkUEIH_-50ABgA8xPOdjX870p8KV4WOOUnP7IZHh3ZkP7i_4Y9xC6uSP8uaRExqSGS9psVLlq3UrD6FBAtUB9Rr6-Ck=w1280"
"aulas__cronograma-1-2022-1_010.png","/aulas/cronograma-1-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-1","10","","","https://lh3.googleusercontent.com/sitesv/AA5AbUBPVOQujeE_MxbRbUOPgxc6N60NBTxbvEoutKqac4grigBOBB-tsGXvL1fW1K9J_RjwuFZOuTvcWcvFoJKVzyuOWXQ_lJiVJxbaLcBgBSH4r8242pCj7BMOl_AJ9ajBJGxC5yyRBLAGc5Y7qiPZTnQiY2SOhk085BFEraifkibgVDrePM-CRnEiCwpu0pJpH9wckWp0GXEsAjaV6y3zM3Qs7e0BeARMn11j=w1280"
"aulas__cronograma-1-2022-1_011.png","/aulas/cronograma-1-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-1","11","","","https://lh3.googleusercontent.com/sitesv/AA5AbUBPWn52TpU0qmO4VBoZNt_Pugpg4KG-Kn3_BDtXaxWNN6BtUiXST-HtLZVcaWzPQCIks5LthjFDOyKrc3V29aebkxv0tNIdfHhwuf8WX6jGoYDkN008cUkN7q5obXgbJT-QrnUZRQ4zXGth5EIYMKWR53q_zapOHzLQEIGVL7TkLpo5CRihTq0JxtOO1WBa1zx9_lS9y-w8x3HrhpJ5eLZyeucaYwZPRY70=w1280"
"aulas__cronograma-1-2022-1_012.png","/aulas/cronograma-1-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-1","12","","","https://lh3.googleusercontent.com/sitesv/AA5AbUB15ZwYjRoZpANWSva3enHTF_9TXQj5z0t86ak0Y_jsmOXKyx96mdtSYqkQP-mwVFAXWL_lB6U64DSDWG39HkiJhckk-3UQgN-Mj0H4Q1IfF1IYU3YQfaBsDW2ILqIYgnfkv6VF8KO7W3AY0nELWv8lo67XdzTeOv2ImEvjqohwuGaQiy_gPL0-6DI-kN2GnS1UmAjskbAXb-vLE2cd3CMwwOeJw2AmBgqVfPA=w1280"
"aulas__cronograma-1-2022-1_013.png","/aulas/cronograma-1-2022-1","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-1","13","","","https://lh3.googleusercontent.com/sitesv/AA5AbUAh53KUAQqd5WinI-D-y5mNdzlr_cDZA-yviLSxr3tapBSVPv3A6hrcE1ZqaEgT1s3N_GqKQwkT_gvwZ7Qyk6zCeBvVt4haEMp32BstyHo2H-AXmfX_p5j7rO1DJ5xJjDrN2csNUxcy97RjmY0lh4HoRJgj2rkoQ7EilADYieF2_oKw3quV8LfUNp_DgSX2uuVntns7Ed_SRw3cBs8kdRFVq9KIIEqchCtGgyk=w1280"
"aulas__cronograma-1-2022-2_001.png","/aulas/cronograma-1-2022-2","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-2","1","","","https://lh3.googleusercontent.com/sitesv/AA5AbUCjAP8uTIWoQc7mTru9qaaDu8qWswdiQRl4sIFGYgMywgY5lUWjL1j08zJBVjG-oxXhFLoiAZg1EVXy_wR385KvymtryAc8rYf6CqqZ2Nei3icFEkIXVUT45qpzdaTd4eJSdqN6WNDRxGZojRV2MIb-XIGHKrVPmMmfaLSA9D6G96sFUDB6cPauovBEm_Y03XLafRK3euuc8RCc_dUjRsvNw6XQj_jgShilG_M=w1280"
"aulas__cronograma-1-2022-2_002.png","/aulas/cronograma-1-2022-2","https://favelaware.animahub.com.br/aulas/cronograma-1-2022-2","2","","","https://lh3.googleusercontent.com/sitesv/AA5AbUAjozDmMF9MBqHAWW0V6br7x12EhVkthVLAqrApD8PWSemVC7LQIId2t1x1xzxpSzwym_1yq9ZxADmiOkTKE5g5b0wO7xHd8Nw0KzUTANd-Rj0Xv2QWehuYLkZYH4d_rcHzo0ZgvPChk5nat4YY2bIIM0XgOzemWXALVmU47GE5smzIKtIdVy0fCd7Tj6TW-gYhZT2LKdG3TcZqtN1FHUC-7JzKNdmRBzYh7wE=w1280"
